@relation abalone

@attribute Sex numeric
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Rings numeric

@data
0,0.371622,0.352941,0.079646,0.079157,0.066241,0.063199,0.068261,0.214286
0.5,0.614865,0.613445,0.119469,0.239065,0.171822,0.185648,0.207773,0.285714
0,0.493243,0.521008,0.110619,0.182044,0.14425,0.14944,0.152965,0.321429
1,0.344595,0.336134,0.070796,0.071897,0.059516,0.05135,0.053313,0.214286
1,0.472973,0.411765,0.084071,0.123783,0.094149,0.101382,0.118087,0.25
0.5,0.614865,0.605042,0.132743,0.274659,0.158709,0.185648,0.327354,0.678571
0.5,0.635135,0.621849,0.110619,0.271294,0.197041,0.196182,0.257598,0.535714
0,0.540541,0.529412,0.110619,0.179741,0.144923,0.147465,0.16293,0.285714
0.5,0.641892,0.647059,0.132743,0.316097,0.210827,0.198157,0.317389,0.642857
0.5,0.608108,0.546218,0.123894,0.214096,0.129792,0.193548,0.207773,0.464286
0,0.47973,0.495798,0.097345,0.143085,0.11197,0.105991,0.133034,0.321429
0,0.560811,0.546218,0.119469,0.191075,0.145595,0.124424,0.187843,0.357143
0.5,0.621622,0.588235,0.128319,0.241721,0.182582,0.22449,0.20279,0.321429
0.5,0.533784,0.504202,0.088496,0.1677,0.11197,0.105332,0.18286,0.321429
0,0.574324,0.579832,0.115044,0.234638,0.172831,0.174457,0.237668,0.392857
1,0.378378,0.378151,0.075221,0.102178,0.063215,0.05135,0.113104,0.214286
0.5,0.493243,0.478992,0.088496,0.159022,0.125757,0.113891,0.128052,0.321429
0,0.391892,0.403361,0.070796,0.089782,0.06456,0.055958,0.098156,0.214286
0,0.506757,0.445378,0.088496,0.134231,0.113988,0.098091,0.113104,0.285714
0,0.378378,0.378151,0.084071,0.08624,0.063551,0.080974,0.073244,0.357143
1,0.412162,0.369748,0.088496,0.079157,0.053127,0.063858,0.083209,0.321429
0.5,0.662162,0.647059,0.137168,0.332035,0.286819,0.281106,0.267564,0.392857
0.5,0.641892,0.605042,0.119469,0.269701,0.213181,0.275839,0.197808,0.285714
0.5,0.72973,0.714286,0.146018,0.410661,0.344317,0.395655,0.302441,0.321429
0.5,0.655405,0.647059,0.123894,0.328139,0.256557,0.246873,0.297459,0.357143
0.5,0.682432,0.663866,0.163717,0.351868,0.264627,0.357472,0.282511,0.357143
0,0.695946,0.655462,0.123894,0.329024,0.238736,0.307439,0.277529,0.392857
0,0.716216,0.705882,0.159292,0.330972,0.264291,0.287689,0.292476,0.5
0,0.675676,0.621849,0.123894,0.305118,0.263618,0.298223,0.197808,0.357143
0,0.682432,0.697479,0.146018,0.352577,0.263954,0.317972,0.327354,0.321429
0.5,0.817568,0.848739,0.146018,0.579777,0.406523,0.368664,0.456901,0.5
0,0.797297,0.789916,0.146018,0.473172,0.370208,0.470046,0.347285,0.607143
0.5,0.817568,0.831933,0.154867,0.63609,0.547411,0.516129,0.451918,0.642857
0.5,0.851351,0.831933,0.176991,0.604746,0.425017,0.541145,0.486796,0.428571
0,0.527027,0.504202,0.09292,0.169116,0.151984,0.162607,0.123069,0.25
0.5,0.628378,0.705882,0.137168,0.430317,0.356086,0.404213,0.337319,0.535714
0.5,0.506757,0.504202,0.09292,0.184346,0.158709,0.152732,0.143,0.25
0.5,0.675676,0.655462,0.119469,0.312024,0.255548,0.267281,0.257598,0.357143
0,0.378378,0.394958,0.079646,0.115282,0.089442,0.112574,0.088191,0.285714
0.5,0.506757,0.470588,0.09292,0.149814,0.124748,0.119157,0.113104,0.285714
0.5,0.641892,0.621849,0.119469,0.300868,0.242771,0.257406,0.267564,0.464286
1,0.222973,0.201681,0.039823,0.024084,0.020511,0.030283,0.018435,0.142857
1,0.175676,0.159664,0.048673,0.014167,0.016476,0.019092,0.010463,0.142857
1,0.182432,0.159664,0.044248,0.014167,0.011096,0.0158,0.013453,0.107143
1,0.425676,0.403361,0.084071,0.071188,0.058171,0.058591,0.073244,0.214286
0,0.533784,0.529412,0.106195,0.204533,0.196369,0.298223,0.138017,0.285714
0.5,0.52027,0.537815,0.106195,0.162387,0.118695,0.144174,0.147982,0.214286
1,0.337838,0.319328,0.061947,0.056313,0.050101,0.032916,0.043348,0.178571
0.5,0.608108,0.621849,0.141593,0.295201,0.237727,0.280448,0.242651,0.285714
1,0.601351,0.596639,0.106195,0.210023,0.159718,0.14549,0.187843,0.25
0,0.439189,0.445378,0.084071,0.106605,0.089106,0.078341,0.098156,0.214286
0,0.554054,0.512605,0.115044,0.191075,0.17384,0.125741,0.157947,0.321429
0.5,0.533784,0.512605,0.106195,0.168408,0.140888,0.138249,0.147982,0.321429
0,0.445946,0.428571,0.088496,0.135647,0.115669,0.119816,0.108122,0.214286
0.5,0.574324,0.579832,0.123894,0.233575,0.171822,0.230415,0.217738,0.25
0,0.5,0.495798,0.106195,0.156012,0.128447,0.125082,0.133034,0.25
0,0.533784,0.554622,0.119469,0.208075,0.185272,0.15734,0.167912,0.25
1,0.22973,0.226891,0.053097,0.02975,0.027572,0.017775,0.023418,0.107143
0.5,0.581081,0.579832,0.110619,0.205773,0.164761,0.170507,0.172895,0.214286
0,0.506757,0.487395,0.09292,0.145033,0.120377,0.147465,0.133034,0.214286
0,0.581081,0.588235,0.097345,0.220648,0.204438,0.210007,0.172895,0.285714
0.5,0.614865,0.596639,0.115044,0.245971,0.202421,0.254115,0.197808,0.321429
0,0.472973,0.453782,0.084071,0.133345,0.113988,0.104674,0.098156,0.214286
0,0.601351,0.579832,0.106195,0.20471,0.156691,0.172482,0.18286,0.25
0,0.540541,0.504202,0.106195,0.169293,0.156691,0.132982,0.133034,0.25
0.5,0.662162,0.647059,0.141593,0.323358,0.237391,0.254115,0.317389,0.392857
0.5,0.702703,0.739496,0.163717,0.454401,0.279085,0.294273,0.481814,0.428571
0.5,0.540541,0.563025,0.106195,0.187179,0.142905,0.151415,0.167912,0.321429
1,0.317568,0.302521,0.061947,0.052771,0.041695,0.052666,0.043348,0.178571
0,0.648649,0.621849,0.115044,0.270763,0.176866,0.22054,0.272546,0.428571
0.5,0.439189,0.445378,0.097345,0.124314,0.093813,0.129032,0.098156,0.25
0.5,0.702703,0.705882,0.150442,0.440942,0.322125,0.295589,0.422023,0.678571
0,0.668919,0.714286,0.154867,0.418984,0.31809,0.342989,0.37718,0.357143
0.5,0.716216,0.663866,0.172566,0.388171,0.322798,0.380513,0.312407,0.428571
0.5,0.709459,0.705882,0.132743,0.356118,0.296907,0.290323,0.277529,0.5
0,0.702703,0.705882,0.123894,0.333628,0.243107,0.24819,0.312407,0.285714
